時間,約定,銘柄,タイプ,新規・決済,数量,価格,注文,手数料,スワップ,損益,残高,コメント
2021.01.04 10:45:00,2,EURUSD,sell,in,0.1,1.22811,2,-0.70,0.00,0.00,9 999.30,
2021.01.06 18:00:00,3,EURUSD,buy,out,0.1,1.22824,3,0.00,0.38,-1.30,9 998.38,
2021.01.06 18:15:00,4,EURUSD,buy,in,0.1,1.22770,4,-0.70,0.00,0.00,9 997.68,
2021.01.08 15:45:00,5,EURUSD,sell,out,0.1,1.22715,5,0.00,-4.09,-5.50,9 988.09,
2021.01.08 15:45:00,6,EURUSD,sell,in,0.1,1.22712,6,-0.70,0.00,0.00,9 987.39,
2021.01.11 01:45:00,7,EURUSD,buy,out,0.1,1.21874,7,0.00,0.19,83.80,10 071.38,
2021.01.11 01:45:00,8,EURUSD,buy,in,0.1,1.21891,8,-0.70,0.00,0.00,10 070.68,
2021.01.12 20:45:00,9,EURUSD,sell,out,0.1,1.21886,9,0.00,-0.68,-0.50,10 069.50,
2021.01.12 20:45:00,10,EURUSD,sell,in,0.1,1.21879,10,-0.70,0.00,0.00,10 068.80,
2024.10.29 16:30:00,1428,EURUSD,buy,in,0.1,1.07819,1428,-0.70,0.00,0.00,11 224.98,
2024.10.30 11:15:00,1429,EURUSD,sell,out,0.1,1.08380,1429,0.00,-0.68,56.10,11 280.40,
2024.10.30 11:30:00,1430,EURUSD,sell,in,0.1,1.08393,1430,-0.70,0.00,0.00,11 279.70,
2024.10.31 00:00:00,1431,EURUSD,buy,out,0.1,1.08561,1431,0.00,0.00,-16.80,11 262.90,end of test
,,,,,,,,-500.50,-454.10,2 217.50,11 262.90,
